authors,title,year,source_title,document_type,cited_by,affiliations,author_keywords,doi,link
"Karadayi M.A., Isik M.",A categorical DEA framework for evaluating medical tourism efficiency of “top destinations”,2018,International Series in Operations Research and Management Science,Book Chapter,0,"Industrial Engineering Department, Medipol University, Beykoz, Istanbul, 34810, Turkey; Industrial Engineering Department, Bogazici University, Bebek, Istanbul, 34342, Turkey",Categorical data; Data envelopment analysis; Efficiency; Medical tourism; Performance evaluation,10.1007/978-3-319-65455-3_19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037729383&doi=10.1007%2f978-3-319-65455-3_19&partnerID=40&md5=0e390fb25107eb59ca40a9825d88ee09
Das B.,"Medical tourism, biomedical wastes and health hazard",2018,Advances in Intelligent Systems and Computing,Conference Paper,0,"Department of Geography, Dr MeghnadSaha College, Itahar, Uttar DinajpurWest Bengal  733128, India",Biomedical wastes; Environmental service tax; Health hazard; Medical tourists; Stakeholders,10.1007/978-3-319-60483-1_41,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023202534&doi=10.1007%2f978-3-319-60483-1_41&partnerID=40&md5=e90074ef757cdbb240feb82d7a7061f2
Fleck K.,South Korea: The government is the driving force in medical tourism [Südkorea: Regierung ist treibende Kraft im Medizintourismus],2017,Deutsches Arzteblatt International,Short Survey,0,NA,NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035233889&partnerID=40&md5=d5344eff17355e9e6f8291e4bd138d28
"Jedeejit P., Nuankaew P., Nuankaew W.",Development knowledge management pattern for entrepreneurship in upper-northern Thailand wellness tourism,2017,"ECTI-CON 2017 - 2017 14th International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology",Conference Paper,0,"Faculty of College of Art Media and Technology, Chiang Mai University, Thailand; School of Information and Communication Technology, University of Phayao, Thailand; Faculty of Information Technology, Rajabhat Mahasarakham University, Thailand",Creative Economy; Entrepreneurship; Knowledge Based; Wellness Tourism,10.1109/ECTICon.2017.8096256,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039900692&doi=10.1109%2fECTICon.2017.8096256&partnerID=40&md5=bb3c0b5d39f36d44959b7456c9bc45ae
Penner M.,Practitioner Application: The Effects of Price and Health Consciousness and Satisfaction on the Medical Tourism Experience,2017,Journal of Healthcare Management,Article,0,"Houston Methodist Global Health Care Services, Houston Methodist HospitalTX, United States",NA,10.1097/JHM-D-17-00153,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034584317&doi=10.1097%2fJHM-D-17-00153&partnerID=40&md5=47297ea23b94298e40773b3e344c8153
"Liang Z.-X., Hui T.-K., Sea P.-Z.",Is price most important? Healthcare tourism in Southeast Asia,2017,Tourism Geographies,Article,0,"School of Tourism Mangement, Sun Yat-Sen University, Guangzhou, China; Department of Analytics and Operation, NUS Business School, National University of Singapore, Singapore",behavioral intention; Healthcare tourism; perceived value; satisfaction; Southeast Asia,10.1080/14616688.2017.1376224,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029726846&doi=10.1080%2f14616688.2017.1376224&partnerID=40&md5=1d25a8432458cb9cb7dadfdbcfef8903
Rawat S.R.,Understanding challenges and opportunities before wellness tourism in India,2017,Indian Journal of Public Health Research and Development,Article,0,"Symbiosis Law School, Pune, India; Symbiosis International University, Pune, India",Changing demography; Changing economy; Employment generation; Wellness tourism; Yoga,10.5958/0976-5506.2017.00414.4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039861121&doi=10.5958%2f0976-5506.2017.00414.4&partnerID=40&md5=bcf9b0c71e156d5c21801062519d30ce
"Ronald B.S., Singh S.",Medical tourism: A new challenge to right to health in a globalised world,2017,Indian Journal of Public Health Research and Development,Article,0,"Symbiosis Law School, Symbiosis International University, Pune, India",Globalization; Medical industry; Medical tourism; Right to health,10.5958/0976-5506.2017.00444.2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039840074&doi=10.5958%2f0976-5506.2017.00444.2&partnerID=40&md5=bc95bef891a767bc105e48b7b726c6b3
Shalini P.,Bridging healthcare with wellness tourism in india,2017,Indian Journal of Public Health Research and Development,Article,0,"VELS University, Chennai, India",Ayurveda treatment; Customer satisfaction; Emotional wellness; Social wellness; Travel motivation,10.5958/0976-5506.2017.00367.9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038394718&doi=10.5958%2f0976-5506.2017.00367.9&partnerID=40&md5=acbad6036ef3add3791423d94861ce1a
"Groshev I.V., Krasnoslobodtsev A.A.",World market of medical tourism,2017,World Economy and International Relations,Article,0,"State University of Management, 99, Ryazanskii Prosp., Moscow, 109542, Russian Federation; Research Institute of Education and Science, 32/3, Bol'shaya Gruzinskaya Str., Moscow, 123056, Russian Federation",Health tourism; Medical services; Medical tourism; Patient; Tourist; Tourist service; Wellness tourism,10.20542/0131-2227-2017-61-10-87-95,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032980273&doi=10.20542%2f0131-2227-2017-61-10-87-95&partnerID=40&md5=6d6b4965a09da3d04137e1109d884382
"Hreh M., Cohn C.S., McKenna D., Gniadek T.J.",Traveling treatment: medical tourism in the emerging era of potentially transmissible therapeutics,2017,Transfusion,Letter,0,"Department of Laboratory Medicine and Pathology, University of Minnesota, Minneapolis, MN, United States",NA,10.1111/trf.14276,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029793872&doi=10.1111%2ftrf.14276&partnerID=40&md5=0aa4b0207f623f14f83d6c7539bb4ee4
Jun J.,Health information disparities and medical tourism use among Korean immigrants in the US,2017,"Culture, Migration, and Health Communication in a Global Context",Book Chapter,0,"George Mason University, United States",NA,10.4324/9781315401348,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041249097&doi=10.4324%2f9781315401348&partnerID=40&md5=63cbd847e48a21883cb11d9fe672e167
Oral T.,The definition of legal relationship between the physician and health tourist in civil law countries and physicians’ obligation to inform patient in the framework of health tourism law,2017,Medicine and Law,Article,0,"Ankara University, Faculty of Law, Turkey",Duty to Inform in the Framework of Health Tourism Law; Health Tourism; Informed Consent; Legal Definition of Treatment Contracts; Obligations of Physician; Treatment Contracts as Consumer Contracts,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034232187&partnerID=40&md5=622dfdcde7ee9af776c5a053c0cc04a3
Stadler M.,"Medical travel helps unions, employers improve cost and quality of care",2017,Managed Care,Note,0,NA,NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028074359&partnerID=40&md5=af1ed7268b23c22152e22dc502a70d4d
"Rezaei-Hachesu P., Safdari R., Ghazisaeedi M., Samad-Soltani T.",The applications of health informatics in medical tourism industry of Iran,2017,Iranian Journal of Public Health,Letter,0,"Dept. of Health Information Technology, School of Management and Medical Informatics, Tabriz University of Medical Sciences, Tabriz, Iran; Iranian Center of Excellence in Health Management, School of Management and Medical Informatics, Tabriz University of Medical Sciences, Tabriz, Iran; Dept. of Health Information Technology, School of Allied Medical Sciences, Tehran University of Medical Sciences, Tehran, Iran",NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025069490&partnerID=40&md5=a6850e3bd1fb25d02eedb20d71d6c92e
"Weis J.L., Sirard R.B., Palmieri P.A.",Medical tourism: The role of the primary care provider,2017,BJGP Open,Article,0,"Urgent Care and Primary Care, Coordinated Health, Allentown, PA, United States; Institute for Health Services Research, Universidad Privada del Norte, Lima, Peru",Family practice; Medical tourism; Organ trafficking; Primary health care; Transplant tourism; Travel medicine,10.3399/bjgpopen17X100617,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081706712&doi=10.3399%2fbjgpopen17X100617&partnerID=40&md5=6c638dad00f029a3ff26df511d459aac
Cvitan L.,Impact of climate change on heating and cooling needs in crikvenica as a health tourism destination,2017,Hrvatski Meteoroloski Casopis,Review,0,"Meteorological and Hydrological Service, Gric 3, Zagreb, 1000, Croatia; Državni hidrometeoroloski zavod, Gric 3, Zagreb, 1000, Croatia",Crikvenica (Croatia); Heating and cooling degree-days; Heating season start and end dates; Probabilities; Trends,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050346791&partnerID=40&md5=2a9e6cc88e308354de3a937ce89a74f5
Knopf A.,Why medical tourism is rare in the addiction market,2017,Behavioral Healthcare,Article,0,"New York, United States",NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028458457&partnerID=40&md5=208b033dc56721e78d03234192ebb39f
"Mogaka J.J., Tsoka-Gwegweni J.M., Mupara L.M., Mashamba-Thompson T.","Role, structure and effects of medical tourism in Africa: A systematic scoping review protocol",2017,BMJ Open,Review,0,"Discipline of Public Health Medicine, School of Nursing and Public Health, University of KwaZulu Natal, Durban, South Africa",global health; health services research; healthcare systems; medical tourism; public health,10.1136/bmjopen-2016-013021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021380945&doi=10.1136%2fbmjopen-2016-013021&partnerID=40&md5=2c16b3ada11dc691893c4062bbe4a0e6
Hansen K.S.,Medical tourism and its implications for patients and hospital services throughout the world,2017,Ugeskrift for laeger,Review,0,"krsh@sund.ku.dk, France",NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058741713&partnerID=40&md5=a7c08675cff6fb022f582b95e9ad6f46
Joseph S.,"Sustainable medical tourism model - A case study of Kerala, India",2017,Asia-Pacific Journal of Innovation in Hospitality and Tourism,Article,0,"GPM Government College, India",Destination factors; Hospital service quality; Level of experience; Medical factors; Medical tourism; Sustainable medical tourism outcome,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047569530&partnerID=40&md5=e1e07d237860886ba4012efce063282b
"In S.-H., Seok E.-J., Kim J.-H.",The impact of negative waiting experience of Korean plastic surgery tourism on the negative emotional response and exit intention : A study on Chinese medical tourists visiting korea,2017,Information (Japan),Article,0,"Dept. of Hotel and Foofservice Industry, ShinAnshan University, 671 Chojidong, Anshan City, 425-792, South Korea; Dept. OfAerial Service, Kyungmin College, 545 Seburo, Uijeongbusi, Gyeonggido, 11618, South Korea; Dept. of Semayeul International Development, Yeungnam University, 280 Daehakro, Gyeongsan, Gyeongsangbuk-do, 138541, South Korea",Exit intention; Negative emotional response; Negative waiting experience; Plastic surgery tourism,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030772904&partnerID=40&md5=a7f72ea62ed6347d9156d99407170879
"Schlosser M., Lee F.","Evaluating Quality of ""Medical Tourism"" For Heart Surgery: Measures That Matter",2017,"Managed care (Langhorne, Pa.)",Article,0,NA,NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049712232&partnerID=40&md5=a23942f71edce634a0e4f4e3ad70e37e
"DeMicco F.J., Luo D.P.",Using the system model to describe the workings of the mayo clinic for medical tourism,2017,Medical Tourism and Wellness: Hospitality Bridging Healthcare (H2H),Book Chapter,0,"Department of Hospitality Business Management, Lerner College of Business and Economics, University of Delaware, Newark, DE  19716, United States",Healthcare; Hotel; Medical tourism; Process; Systems model,10.1201/9781315365671,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058610975&doi=10.1201%2f9781315365671&partnerID=40&md5=7316371c3975f0cb95a2dc53cf7a6174
"DeMicco F.J., Teng M.",Medical tourism and information technology,2017,Medical Tourism and Wellness: Hospitality Bridging Healthcare (H2H),Book Chapter,0,"Department of Hospitality Business Management, Lerner College of Business and Economics, University of Delaware, Newark, DE  19716, United States",Healthcare; Healthcare tourism; Hospitality; Information technology; Medical tourists; Medical travel destinations,10.1201/9781315365671,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058610744&doi=10.1201%2f9781315365671&partnerID=40&md5=c07fdea6cf15038946dae4be8eb9b157
DeMicco F.J.,New innovations in medical tourism and wellness in Europe: Switzerland,2017,Medical Tourism and Wellness: Hospitality Bridging Healthcare (H2H),Book Chapter,0,"Department of Hospitality Business Management, Lerner College of Business and Economics, University of Delaware, Newark, DE  19716, United States",Healthcare; Hospitals; Hotel; Luxury; Medical recovery; Medical spa; Resort,10.1201/9781315365671,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058609161&doi=10.1201%2f9781315365671&partnerID=40&md5=66d0fe9d2620ea03e80b57788c8a104f
DeMicco F.J.,A disney approach to medical tourism and wellness,2017,Medical Tourism and Wellness: Hospitality Bridging Healthcare (H2H),Book Chapter,0,"Department of Hospitality Business Management, Lerner College of Business and Economics, University of Delaware, Newark, DE  19716, United States",Guest; Healthcare; Hospitality; Patient satisfaction; Quality,10.1201/9781315365671,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058609147&doi=10.1201%2f9781315365671&partnerID=40&md5=35a943a30eeba180333b2521f184009c
"Jiang N., Poorani A.",Medical tourism today and in the future for China,2017,Medical Tourism and Wellness: Hospitality Bridging Healthcare (H2H),Book Chapter,0,"The Lerner College of Business and Economics, University of Delaware, Newark, DE  19716, United States",China; Medical tourism; Medical tourism cluster; Medical tourism zones (healthcare free zones); Strategic swot analysis; Traditional chinese medicine (TCM); Wellness tourism,10.1201/9781315365671,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058608863&doi=10.1201%2f9781315365671&partnerID=40&md5=e97130e79551ec2b81f99520f441346a
"Poorani A., Jiang N.",The branding of medical tourism in China: A snapshot using a strategic model analysis,2017,Medical Tourism and Wellness: Hospitality Bridging Healthcare (H2H),Book Chapter,0,"Lerner College of Business and Economics, University of Delaware, Newark, DE  19716, United States",China; Medical tourism; Strategy; Wellness,10.1201/9781315365671,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058605775&doi=10.1201%2f9781315365671&partnerID=40&md5=c637998c6e9ef2b9eb63bed08d19ff46
